id,name,materials,price,badge,description,category,images
1,アクキー・アクスタ,アクリル,¥200〜,人気,"透明アクリルで作る、あなただけのオリジナルキーホルダー。イラストや写真を使って、世界に一つだけのアイテムを作成できます。",キーホルダー,"./images/products/keychain_fox.png;./images/products/acsta.png"
2,コースター,木材|コルク|透明アクリル|,¥300〜,,さまざまな材質で作るオリジナルのコースター,コースター,"./images/products/2_coster_wood.png;./images/products/2_coster_cork.png;./images/products/2_coster_acrylic.png"
3,パズル,木材,¥500〜,,レーザーカッターで精密にカットされたオリジナルパズル。写真やイラストから作成可能です。,その他,"./images/products/3_pazzle_wood.png"
4,デザインコースター,木材|アクリル,¥500〜,おすすめ,好きなデザインをフルカラー印刷、お店の宣伝にぴったりです。,コースター,"./images/products/4_designCoster.png"
5,ステッカー,ビニール,¥200〜,,UVプリンターで作る高品質なオリジナルステッカー。耐水性・耐候性に優れています。,その他,"./images/products/5_sticker.png"
6,キーホルダー,木材|アクリル|プラスチック,¥1500〜,,様々な素材から選べるベーシックなキーホルダー。シンプルで使いやすいデザイン。,キーホルダー,"./images/products/6_keyChain_3Dprint.png;./images/products/6_keyChain_wood.png;./images/products/6_keyChain_acrylic.png"
7,彫刻グラス,ガラス,¥1500〜,プレミアム,高品質なガラスに精密な彫刻を施したオリジナルグラス。記念品や贈り物に最適。,その他,"./images/products/7_grass_laser.png"
8,デザイングラス,ガラス,¥2000〜,プレミアム,高品質なガラスに精密な彫刻を施したオリジナルグラス。記念品や贈り物に最適。,その他,"./images/products/8_grass_print.png"
9,彫刻タンブラー,ガラス,¥1500〜,プレミアム,高品質なガラスに精密な彫刻を施したオリジナルグラス。記念品や贈り物に最適。,その他,"./images/products/9_tumbler_laser.png"
10,デザインタンブラー,ガラス,¥2000〜,プレミアム,高品質なガラスに精密な彫刻を施したオリジナルグラス。記念品や贈り物に最適。,その他,"./images/products/10_tumbler_print.png"
12,デザインマグネット,プラスチック,¥300〜,,UVプリンターで作るカラフルなマグネット。冷蔵庫や掲示板を楽しく彩ります。,その他,"./images/products/12_designMagnet.png"
13,ペーパークラフト,ペーパークラフト,¥200〜,,レーザーカッターで作る繊細なデザインカード。招待状や名刺として使用できます。,その他,"./images/products/13_paperCraft.png"
14,多層アクリルキーホルダー,アクリル,¥300〜,,複数のアクリル層を重ねて作る立体的なキーホルダー。奥行きのあるデザインが魅力的です。,キーホルダー,"./images/products/14_ackey_layered.png"
15,トートバッグ,布,¥3500〜,,オリジナルデザインのトートバッグ。UVプリンターでフルカラー印刷が可能です。,その他,"./images/products/15_bag.png"
16,横断幕,布|ビニール,¥15000〜,ビジネス,イベントや店舗で使用する大型横断幕。耐久性のある素材で長期使用可能です。,ビジネス向け,"./images/products/16_banner.png"